Unique Response ID,Representative Name,"On a scale from 0-10, how likely are you to recommend this representative to a friend or colleague? - Group","On a scale from 0-10, how likely are you to recommend this representative to a friend or colleague?",How satisfied are you with the resolution to your issue?,Was your issue resolved?,Rewards member ID,Case #
R_ai3e3xu7D5hqfo9,Victoria,Detractor,2,Neither satisfied nor dissatisfied,Yes,45628,10001
R_3Q22sNSx57siDWZ,Carter,Passive,8,Slightly dissatisfied,No,71223,10002
R_8iDPDudwPx4gk5f,Nora,Passive,7,Slightly dissatisfied,Yes,52180,10003
R_bO68iZI8wBV7mst,Willow,Detractor,3,Slightly dissatisfied,Yes,93084,10004
R_8IV5qiA5GFeCb53,Hudson,Detractor,2,Neither satisfied nor dissatisfied,Uncertain,83943,10005
R_3EEeeIWKRCQMutT,Carter,Detractor,2,Extremely satisfied,Uncertain,48771,10006
R_1H0Y3QlyalrUjo9,Luke,Detractor,5,Extremely satisfied,No,72465,10007
R_246ivxb0WqrXxXf,Thomas,Detractor,3,Slightly dissatisfied,No,32634,10008
R_6AxX481FsBRc8RL,John,Detractor,0,Neither satisfied nor dissatisfied,Uncertain,20012,10009
R_6hbw2i9k8kOf8jj,Luke,Detractor,5,Slightly satisfied,Uncertain,18793,10010
R_8JorLDTbETJtjFP,Lillian,Detractor,0,Extremely dissatisfied,No,48090,10011
R_eKzhMOwOAe0jR1X,Ezra,Detractor,3,Extremely dissatisfied,Uncertain,85701,10012
R_6u3HY3TG4F3jyNn,Hudson,Promoter,9,Neither satisfied nor dissatisfied,Yes,45779,10013
R_3xWPWdSujTS8ZBb,Jaxon,Detractor,2,Slightly satisfied,Uncertain,41711,10014
R_6lk9twgbqNsXksl,Riley,Promoter,9,Extremely dissatisfied,No,53044,10015
R_6qZmta7WTRdmli5,Grayson,Passive,7,Slightly satisfied,No,78107,10016
R_dgHTkcLB5eAUDAx,John,Detractor,6,Neither satisfied nor dissatisfied,Yes,27193,10017
R_87JvOTCBwQyvJpb,Violet,Detractor,4,Extremely dissatisfied,Yes,21259,10018
R_8GFOU8kTDBAfA8d,Jayden,Detractor,1,Extremely satisfied,No,72902,10019
R_e5UYyb9nU29ugwl,Ezra,Detractor,1,Extremely dissatisfied,No,20572,10020
R_exHO7r2IV6vn70x,Lucy,Detractor,5,Slightly dissatisfied,No,69703,10021
R_7QB83z3MKnJPSOF,Levi,Detractor,4,Neither satisfied nor dissatisfied,Uncertain,79064,10022
R_bw5nBrNUuOvrbLf,Asher,Detractor,5,Slightly satisfied,Uncertain,88662,10023
R_b9nXSw5v9NjvrYF,Natalie,Detractor,3,Slightly dissatisfied,Yes,54935,10024
R_3mkbG349wQQrw0d,John,Detractor,6,Slightly satisfied,Uncertain,31544,10025
R_cBiUEgmYXQowrAh,Levi,Promoter,9,Neither satisfied nor dissatisfied,No,55456,10026
R_0uNrJD8Bhyt9kaN,Ezra,Passive,8,Slightly dissatisfied,Uncertain,63891,10027
R_1XJ4Jvea27VEBqB,Aurora,Detractor,2,Slightly satisfied,Yes,94461,10028
R_3Ob8c5gdEEBpLhj,Zoey,Detractor,0,Neither satisfied nor dissatisfied,Uncertain,21150,10029
R_e9yrkRp1b6pKOTX,Aubrey,Detractor,6,Extremely satisfied,Yes,25537,10030
R_8hJuYkTXg6afI1v,Audrey,Detractor,4,Neither satisfied nor dissatisfied,Uncertain,55886,10031
